# 8b Adder (BF16 exponent path) Exhaustive TB Errors
# Fields: carry exp1 exp2 | exp_sum_expected ovf_expected unf_expected | exp_sum_got ovf_got unf_got

ERROR: carry=0 exp1=0(0x00) exp2=33(0x21) | exp_sum_exp=162(0xa2) ovf_exp=0 unf_exp=0 | exp_sum_got=162(0xa2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=34(0x22) | exp_sum_exp=163(0xa3) ovf_exp=0 unf_exp=0 | exp_sum_got=163(0xa3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=35(0x23) | exp_sum_exp=164(0xa4) ovf_exp=0 unf_exp=0 | exp_sum_got=164(0xa4) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=36(0x24) | exp_sum_exp=165(0xa5) ovf_exp=0 unf_exp=0 | exp_sum_got=165(0xa5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=37(0x25) | exp_sum_exp=166(0xa6) ovf_exp=0 unf_exp=0 | exp_sum_got=166(0xa6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=38(0x26) | exp_sum_exp=167(0xa7) ovf_exp=0 unf_exp=0 | exp_sum_got=167(0xa7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=39(0x27) | exp_sum_exp=168(0xa8) ovf_exp=0 unf_exp=0 | exp_sum_got=168(0xa8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=40(0x28) | exp_sum_exp=169(0xa9) ovf_exp=0 unf_exp=0 | exp_sum_got=169(0xa9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=41(0x29) | exp_sum_exp=170(0xaa) ovf_exp=0 unf_exp=0 | exp_sum_got=170(0xaa) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=42(0x2a) | exp_sum_exp=171(0xab) ovf_exp=0 unf_exp=0 | exp_sum_got=171(0xab) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=43(0x2b) | exp_sum_exp=172(0xac) ovf_exp=0 unf_exp=0 | exp_sum_got=172(0xac) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=44(0x2c) | exp_sum_exp=173(0xad) ovf_exp=0 unf_exp=0 | exp_sum_got=173(0xad) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=45(0x2d) | exp_sum_exp=174(0xae) ovf_exp=0 unf_exp=0 | exp_sum_got=174(0xae) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=46(0x2e) | exp_sum_exp=175(0xaf) ovf_exp=0 unf_exp=0 | exp_sum_got=175(0xaf) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=47(0x2f) | exp_sum_exp=176(0xb0) ovf_exp=0 unf_exp=0 | exp_sum_got=176(0xb0) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=48(0x30) | exp_sum_exp=177(0xb1) ovf_exp=0 unf_exp=0 | exp_sum_got=177(0xb1) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=49(0x31) | exp_sum_exp=178(0xb2) ovf_exp=0 unf_exp=0 | exp_sum_got=178(0xb2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=50(0x32) | exp_sum_exp=179(0xb3) ovf_exp=0 unf_exp=0 | exp_sum_got=179(0xb3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=51(0x33) | exp_sum_exp=180(0xb4) ovf_exp=0 unf_exp=0 | exp_sum_got=180(0xb4) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=52(0x34) | exp_sum_exp=181(0xb5) ovf_exp=0 unf_exp=0 | exp_sum_got=181(0xb5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=53(0x35) | exp_sum_exp=182(0xb6) ovf_exp=0 unf_exp=0 | exp_sum_got=182(0xb6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=54(0x36) | exp_sum_exp=183(0xb7) ovf_exp=0 unf_exp=0 | exp_sum_got=183(0xb7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=55(0x37) | exp_sum_exp=184(0xb8) ovf_exp=0 unf_exp=0 | exp_sum_got=184(0xb8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=56(0x38) | exp_sum_exp=185(0xb9) ovf_exp=0 unf_exp=0 | exp_sum_got=185(0xb9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=57(0x39) | exp_sum_exp=186(0xba) ovf_exp=0 unf_exp=0 | exp_sum_got=186(0xba) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=58(0x3a) | exp_sum_exp=187(0xbb) ovf_exp=0 unf_exp=0 | exp_sum_got=187(0xbb) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=59(0x3b) | exp_sum_exp=188(0xbc) ovf_exp=0 unf_exp=0 | exp_sum_got=188(0xbc) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=60(0x3c) | exp_sum_exp=189(0xbd) ovf_exp=0 unf_exp=0 | exp_sum_got=189(0xbd) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=61(0x3d) | exp_sum_exp=190(0xbe) ovf_exp=0 unf_exp=0 | exp_sum_got=190(0xbe) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=62(0x3e) | exp_sum_exp=191(0xbf) ovf_exp=0 unf_exp=0 | exp_sum_got=191(0xbf) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=63(0x3f) | exp_sum_exp=192(0xc0) ovf_exp=0 unf_exp=0 | exp_sum_got=192(0xc0) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=64(0x40) | exp_sum_exp=193(0xc1) ovf_exp=0 unf_exp=0 | exp_sum_got=193(0xc1) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=65(0x41) | exp_sum_exp=194(0xc2) ovf_exp=0 unf_exp=0 | exp_sum_got=194(0xc2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=66(0x42) | exp_sum_exp=195(0xc3) ovf_exp=0 unf_exp=0 | exp_sum_got=195(0xc3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=67(0x43) | exp_sum_exp=196(0xc4) ovf_exp=0 unf_exp=0 | exp_sum_got=196(0xc4) ovf_got=0 unf_got=1
