Path,Config,Variance,Latency_Cycles,Logic_Depths,Total_Adders,Total_Reg_Signals,Filename
2_2_4_2,110,1.333,3,"[1, 1, 3]",31,24,path_2_2_4_2/add32_tree_2_2_4_2_pipe_110_lat3_var1_333.sv
2_2_4_2,101,0.333,3,"[1, 2, 2]",31,18,path_2_2_4_2/add32_tree_2_2_4_2_pipe_101_lat3_var0_333.sv
2_2_4_2,100,4.5,2,"[1, 4]",31,16,path_2_2_4_2/add32_tree_2_2_4_2_pipe_100_lat2_var4_5.sv
2_2_4_2,011,0.333,3,"[2, 1, 2]",31,10,path_2_2_4_2/add32_tree_2_2_4_2_pipe_011_lat3_var0_333.sv
2_2_4_2,010,0.5,2,"[2, 3]",31,8,path_2_2_4_2/add32_tree_2_2_4_2_pipe_010_lat2_var0_5.sv
2_2_4_2,001,0.5,2,"[3, 2]",31,2,path_2_2_4_2/add32_tree_2_2_4_2_pipe_001_lat2_var0_5.sv
2_2_4_2,000,0.0,1,[5],31,0,path_2_2_4_2/add32_tree_2_2_4_2_pipe_000_lat1_var0_0.sv
2_2_2_4,111,0.25,4,"[1, 1, 1, 2]",31,28,path_2_2_2_4/add32_tree_2_2_2_4_pipe_111_lat4_var0_25.sv
2_2_2_4,110,1.333,3,"[1, 1, 3]",31,24,path_2_2_2_4/add32_tree_2_2_2_4_pipe_110_lat3_var1_333.sv
2_2_2_4,101,0.333,3,"[1, 2, 2]",31,20,path_2_2_2_4/add32_tree_2_2_2_4_pipe_101_lat3_var0_333.sv
2_2_2_4,100,4.5,2,"[1, 4]",31,16,path_2_2_2_4/add32_tree_2_2_2_4_pipe_100_lat2_var4_5.sv
2_2_2_4,011,0.333,3,"[2, 1, 2]",31,12,path_2_2_2_4/add32_tree_2_2_2_4_pipe_011_lat3_var0_333.sv
2_2_2_4,010,0.5,2,"[2, 3]",31,8,path_2_2_2_4/add32_tree_2_2_2_4_pipe_010_lat2_var0_5.sv
2_2_2_4,001,0.5,2,"[3, 2]",31,4,path_2_2_2_4/add32_tree_2_2_2_4_pipe_001_lat2_var0_5.sv
2_2_2_4,000,0.0,1,[5],31,0,path_2_2_2_4/add32_tree_2_2_2_4_pipe_000_lat1_var0_0.sv
2_2_2_2_2,1111,0.2,5,"[1, 1, 1, 1, 2]",31,30,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1111_lat5_var0_2.sv
2_2_2_2_2,1110,1,4,"[1, 1, 1, 3]",31,28,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1110_lat4_var1.sv
2_2_2_2_2,1101,0.333,4,"[1, 1, 2, 2]",31,26,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1101_lat4_var0_333.sv
2_2_2_2_2,1100,3,3,"[1, 1, 4]",31,24,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1100_lat3_var3.sv
2_2_2_2_2,1011,0.333,4,"[1, 2, 1, 2]",31,22,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1011_lat4_var0_333.sv
2_2_2_2_2,1010,1,3,"[1, 2, 3]",31,20,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1010_lat3_var1.sv
2_2_2_2_2,1001,1,3,"[1, 3, 2]",31,18,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1001_lat3_var1.sv
2_2_2_2_2,1000,8,2,"[1, 5]",31,16,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_1000_lat2_var8.sv
2_2_2_2_2,0111,0.333,4,"[2, 1, 1, 2]",31,14,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0111_lat4_var0_333.sv
2_2_2_2_2,0110,1,3,"[2, 1, 3]",31,12,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0110_lat3_var1.sv
2_2_2_2_2,0101,0,3,"[2, 2, 2]",31,10,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0101_lat3_var0.sv
2_2_2_2_2,0100,2,2,"[2, 4]",31,8,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0100_lat2_var2.sv
2_2_2_2_2,0011,1,3,"[3, 1, 2]",31,6,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0011_lat3_var1.sv
2_2_2_2_2,0010,0,2,"[3, 3]",31,4,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0010_lat2_var0.sv
2_2_2_2_2,0001,2,2,"[4, 2]",31,2,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0001_lat2_var2.sv
2_2_2_2_2,0000,0.0,1,[6],31,0,path_2_2_2_2_2/add32_tree_2_2_2_2_2_pipe_0000_lat1_var0_0.sv
