Path,Config,Variance,Latency_Cycles,Logic_Depths,Total_Adders,Total_Reg_Signals,Filename
16_2,1,0.5,2,"[1, 2]",31,2,path_16_2/V0_5_S2_cfg_1.sv
16_2,0,0.0,1,[3],31,0,path_16_2/V0_0_S1_cfg_0.sv
15_3,1,0.5,2,"[1, 2]",31,3,path_15_3/V0_5_S2_cfg_1.sv
15_3,0,0.0,1,[3],31,0,path_15_3/V0_0_S1_cfg_0.sv
8_4,1,0.5,2,"[1, 2]",31,4,path_8_4/V0_5_S2_cfg_1.sv
8_4,0,0.0,1,[3],31,0,path_8_4/V0_0_S1_cfg_0.sv
7_5,1,0.5,2,"[1, 2]",31,5,path_7_5/V0_5_S2_cfg_1.sv
7_5,0,0.0,1,[3],31,0,path_7_5/V0_0_S1_cfg_0.sv
7_4_2,11,0.333,3,"[1, 1, 2]",31,7,path_7_4_2/V0_333_S3_cfg_11.sv
7_4_2,10,2,2,"[1, 3]",31,5,path_7_4_2/V2_S2_cfg_10.sv
7_4_2,01,0,2,"[2, 2]",31,2,path_7_4_2/V0_S2_cfg_01.sv
7_4_2,00,0.0,1,[4],31,0,path_7_4_2/V0_0_S1_cfg_00.sv
4_8,1,0.5,2,"[1, 2]",31,8,path_4_8/V0_5_S2_cfg_1.sv
4_8,0,0.0,1,[3],31,0,path_4_8/V0_0_S1_cfg_0.sv
4_7_2,11,0.333,3,"[1, 1, 2]",31,10,path_4_7_2/V0_333_S3_cfg_11.sv
4_7_2,10,2,2,"[1, 3]",31,8,path_4_7_2/V2_S2_cfg_10.sv
4_7_2,01,0,2,"[2, 2]",31,2,path_4_7_2/V0_S2_cfg_01.sv
4_7_2,00,0.0,1,[4],31,0,path_4_7_2/V0_0_S1_cfg_00.sv
4_4_2,11,0.333,3,"[1, 1, 2]",31,10,path_4_4_2/V0_333_S3_cfg_11.sv
4_4_2,10,2,2,"[1, 3]",31,8,path_4_4_2/V2_S2_cfg_10.sv
4_4_2,01,0,2,"[2, 2]",31,2,path_4_4_2/V0_S2_cfg_01.sv
4_4_2,00,0.0,1,[4],31,0,path_4_4_2/V0_0_S1_cfg_00.sv
